,mae,rmse,train_size,test_size,feature_count,status
1,0.18235745324028863,0.2973711775106151,72,18,13,success
2,0.191148435804579,0.25324315241375595,72,18,13,success
3,0.355966984430949,0.42925915181172686,72,18,13,success
4,0.5505741776360407,0.6919615134875305,72,18,13,success
5,0.12395422405666769,0.16392829251081367,72,18,13,success
6,1.1895657412211103,1.4056600322283779,72,18,13,success
7,0.1762427435980903,0.27584003539826013,72,18,13,success
8,0.16572839736938486,0.2210640798391708,72,18,13,success
9,0.576094340218438,0.6833284114493473,72,18,13,success
10,0.30319855160183384,0.35104109219378554,72,18,13,success
11,0.8886110411749946,1.1473836388929852,72,18,13,success
12,0.1750854799482559,0.23877833722024938,72,18,13,success
13,0.3026146178775364,0.36511913283559183,72,18,13,success
14,0.2521034113566082,0.2810964907401548,72,18,13,success
15,1.2753823110792375,1.3500534172497365,72,18,13,success
16,0.10226035435994468,0.13034533922721703,72,18,13,success
17,0.3905741416083442,0.43992864304028384,72,18,13,success
18,0.3141622140672472,0.4691062731137593,72,18,13,success
19,0.26988377041286893,0.33716935856931274,72,18,13,success
20,0.16006397247314463,0.1884181802028812,72,18,13,success
21,2.952440664503309,3.074502459820365,72,18,13,success
22,1.3065186871422663,1.4579700361480996,72,18,13,success
23,0.3990348116556804,0.5021113862617426,72,18,13,success
24,0.2928828144073487,0.39550746071667037,72,18,13,success
25,0.5262001260121663,0.7373532825252684,72,18,13,success
26,0.6356846692827012,0.7969956800195123,72,18,13,success
27,0.6391411442226835,0.761063009365576,72,18,13,success
28,0.32904531266954223,0.36930216438080166,72,18,13,success
29,0.35101542366875527,0.4711436000580188,72,18,13,success
30,0.3593463240729438,0.42656265211042643,72,18,13,success
